epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,5495.94,0.51551,0.33851,0.96284,0.98002,0.97917,0.99287,0.87322,0.52713,0.32521,0.96075,0.000841835,0.000841835,0.000841835
152,5531.16,0.51029,0.34642,0.97836,0.97592,0.97917,0.99251,0.88269,0.52273,0.32228,0.95777,0.000836334,0.000836334,0.000836334
153,5567.07,0.47842,0.32776,0.93903,0.97178,0.96886,0.99347,0.88995,0.51133,0.31923,0.95141,0.000830833,0.000830833,0.000830833
154,5602.66,0.50206,0.33469,0.94734,0.98468,0.97457,0.98922,0.88841,0.51806,0.33539,0.96589,0.000825332,0.000825332,0.000825332
155,5636.97,0.50939,0.34068,0.97078,0.98721,0.97561,0.98951,0.88356,0.51926,0.3187,0.95628,0.000819831,0.000819831,0.000819831
156,5671.63,0.49568,0.33008,0.94379,0.97661,0.97925,0.98912,0.88167,0.51507,0.34519,0.95685,0.000814329,0.000814329,0.000814329
157,5705.85,0.5024,0.33587,0.96032,0.97631,0.97083,0.98898,0.87366,0.5191,0.31579,0.9572,0.000808828,0.000808828,0.000808828
158,5740.49,0.49215,0.32683,0.96417,0.99138,0.96729,0.98842,0.89088,0.50428,0.3303,0.94953,0.000803327,0.000803327,0.000803327
159,5774.78,0.51626,0.33097,0.95816,0.99535,0.9735,0.98943,0.88507,0.52231,0.32448,0.97146,0.000797826,0.000797826,0.000797826
160,5809.23,0.48786,0.3229,0.9751,0.99473,0.9691,0.98878,0.88658,0.51453,0.31043,0.97059,0.000792325,0.000792325,0.000792325
161,5843.31,0.50625,0.32498,0.95744,0.98051,0.97026,0.98951,0.87597,0.51923,0.32832,0.95822,0.000786824,0.000786824,0.000786824
162,5877.6,0.52251,0.33058,0.98041,0.98114,0.98333,0.98964,0.8907,0.50767,0.32943,0.95114,0.000781323,0.000781323,0.000781323
163,5913.52,0.50138,0.32552,0.95957,0.984,0.98333,0.98863,0.8919,0.51268,0.32209,0.95707,0.000775822,0.000775822,0.000775822
164,5948.52,0.51205,0.33818,0.95288,0.9835,0.97917,0.98909,0.88283,0.50921,0.31974,0.95347,0.000770321,0.000770321,0.000770321
165,5983.25,0.51127,0.33285,0.95775,0.98622,0.98333,0.98492,0.86684,0.54833,0.32229,0.98252,0.00076482,0.00076482,0.00076482
166,6018.11,0.4911,0.31923,0.94992,0.97859,0.98333,0.98894,0.88237,0.5009,0.31194,0.94881,0.000759318,0.000759318,0.000759318
167,6052.61,0.47473,0.31396,0.93632,0.96257,0.98375,0.98949,0.89345,0.51913,0.32891,0.95134,0.000753817,0.000753817,0.000753817
168,6087.46,0.48931,0.31955,0.95572,0.98038,0.97263,0.98871,0.8825,0.50993,0.32813,0.96503,0.000748316,0.000748316,0.000748316
169,6121.8,0.46958,0.31113,0.93846,0.98352,0.97708,0.99136,0.88806,0.50452,0.31116,0.94853,0.000742815,0.000742815,0.000742815
170,6156.41,0.51241,0.32051,0.94647,0.9875,0.97933,0.98903,0.87802,0.51387,0.31309,0.9553,0.000737314,0.000737314,0.000737314
